Id,Category
13455.png,tory burch
12563.png,ralph lauren
7290.png,vera wang
9575.png,marc by marc jacobs
14011.png,vera wang
6780.png,giambattista valli
5868.png,givenchy
5194.png,dolce & gabbana
5410.png,dries van noten
9646.png,marc by marc jacobs
10420.png,max mara
5510.png,chloe
8387.png,jean paul gaultier
5910.png,emporio armani
9401.png,louis vuitton
5475.png,dries van noten
1456.png,armani prive
11033.png,missoni
2295.png,burberry
8433.png,emporio armani
14286.png,chado ralph rucci
10069.png,marc jacobs
10.png,missoni
10646.png,max mara
5457.png,tommy hilfiger
2179.png,blumarine
7712.png,gucci
9062.png,lanvin
6405.png,tory burch
10106.png,marni
6234.png,giorgio armani
12204.png,prada
9772.png,marc by marc jacobs
5492.png,dries van noten
1788.png,balmain
10435.png,max mara
6184.png,alexander mcqueen
12962.png,stella mccartney
8.png,alexander mcqueen
4349.png,chloe
3160.png,marni
13577.png,tory burch
1998.png,balmain
8048.png,jason wu
5141.png,dolce & gabbana
2766.png,burberry
3915.png,marni
8803.png,jil sander
6826.png,giambattista valli
6836.png,giambattista valli
942.png,anna sui
12193.png,prada
10367.png,marni
12780.png,stella mccartney
1726.png,balenciaga
2979.png,chanel
747.png,andrew gn
4117.png,chanel
11212.png,missoni
7987.png,hermes
5782.png,emporio armani
13527.png,tory burch
6358.png,fendi
9254.png,louis vuitton
9536.png,marc by marc jacobs
2310.png,marc by marc jacobs
4135.png,chanel
14113.png,vera wang
8750.png,jil sander
2340.png,blumarine
9612.png,marc by marc jacobs
13022.png,stella mccartney
7470.png,gucci
10245.png,marni
3299.png,chado ralph rucci
9626.png,marc by marc jacobs
13058.png,stella mccartney
13127.png,tommy hilfiger
11595.png,nina ricci
6179.png,etro
14251.png,calvin klein
1826.png,balmain
13791.png,valentino
9707.png,marc by marc jacobs
4368.png,chloe
5452.png,dries van noten
7572.png,gucci
1739.png,balenciaga
1567.png,balenciaga
8477.png,jean paul gaultier
9644.png,marc by marc jacobs
10422.png,max mara
14710.png,yves saint laurent
5562.png,dries van noten
8662.png,jil sander
13275.png,tommy hilfiger
1122.png,anna sui
3153.png,calvin klein
8763.png,jil sander
6058.png,dolce & gabbana
3351.png,carolina herrera
12.png,alexander mcqueen
13209.png,tommy hilfiger
1238.png,armani prive
1362.png,emporio armani
14736.png,yves saint laurent
3666.png,chado ralph rucci
8943.png,lanvin
4949.png,derek lam
13967.png,valentino
7129.png,giorgio armani
8851.png,jil sander
