Id,Category
8820.png,jil sander
348.png,alexander wang
1804.png,balmain
4968.png,derek lam
8834.png,jil sander
6831.png,giambattista valli
12907.png,stella mccartney
3791.png,chado ralph rucci
4798.png,derek lam
7285.png,givenchy
10862.png,michael kors
4954.png,derek lam
5492.png,dries van noten
3785.png,chado ralph rucci
8808.png,jil sander
12913.png,stella mccartney
9525.png,marc by marc jacobs
11229.png,missoni
10137.png,marni
5479.png,tory burch
6170.png,tory burch
8149.png,jason wu
10123.png,marni
14345.png,versace
5323.png,dolce & gabbana
1145.png,anna sui
9519.png,oscar de la renta
7534.png,louis vuitton
7252.png,jean paul gaultier
1623.png,valentino
13364.png,tommy hilfiger
5445.png,dries van noten
3034.png,calvin klein
5451.png,dries van noten
11567.png,miu miu
8175.png,jason wu
6158.png,etro
1637.png,balenciaga
1151.png,anna sui
13416.png,tory burch
11201.png,missoni
3746.png,chado ralph rucci
2458.png,bottega veneta
10490.png,max mara
5860.png,emporio armani
14184.png,vera wang
7905.png,chado ralph rucci
8388.png,jean paul gaultier
5684.png,emporio armani
3587.png,chado ralph rucci
5848.png,giorgio armani
14635.png,yves saint laurent
11995.png,oscar de la renta
10453.png,max mara
10335.png,marni
4203.png,chloe
837.png,andrew gn
8439.png,jean paul gaultier
823.png,andrew gn
9733.png,michael kors
10321.png,marni
2666.png,bottega veneta
4217.png,chloe
3578.png,chado ralph rucci
4571.png,christian dior
11981.png,chado ralph rucci
10447.png,jil sander
2100.png,jason wu
14621.png,yves saint laurent
3236.png,calvin klein
1421.png,louis vuitton
14609.png,yves saint laurent
7050.png,giorgio armani
7736.png,hermes
8405.png,chanel
13600.png,tory burch
2896.png,burberry
3550.png,carolina herrera
2882.png,burberry
13614.png,tory burch
1353.png,armani prive
13172.png,tommy hilfiger
3222.png,calvin klein
11765.png,nina ricci
14782.png,yves saint laurent
980.png,anna sui
12495.png,ralph lauren
7865.png,hermes
9690.png,marc by marc jacobs
10282.png,marni
994.png,anna sui
